"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@PeriodicoMadera","Periódico Madera","DECLARACIÓN DEL FRENTE DE IZQUIERDA SOCIALISTA (FIS) A LA CONVENCION NACIONAL y #yosoy132: Nuestro movimiento... http://t.co/wEfFnApb","0","0","0","1342301315000","14 Jul 2012","PeriodicoMadera/status/224254089284943872","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@Colmex132","Colmex132","Minuta de la 6a Asamblea Interuniversitaria del movimiento #yosoy132. http://t.co/yOYMFhl8 favor de difundir.","0","3","0","1342310313000","14 Jul 2012","Colmex132/status/224291827228999682","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@USADecide","USADecide","México: más de 800 personas en la ""Convención Nacional contra la Imposición"": Integrantes del grupo #YoSoy132 y ... http://t.co/e3mFWS8w","0","0","0","1342293842000","14 Jul 2012","USADecide/status/224222741589528576","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@SBrook_","Serge BrooK","Movimientos de izquierda e independientes buscan hoy mostrar músculo contra la imposición de EPN http://t.co/ewqFPdd4 #YoSoy132 Magna $10.36","0","0","0","1342297475000","14 Jul 2012","SBrook_/status/224237981416947713","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@PublicoMx","PúblicoMx","#Nacionales Exige #YoSoy132 justicia para comuneros de Cherán http://t.co/uvotJCwC","0","0","0","1342307713000","14 Jul 2012","PublicoMx/status/224280923384975360","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Nacionales | YoSoy132"
"@karensgtz","karen Gtz","Detrás del copetón esta el pinche pelón.#YoSoy132","0","0","0","1342298939000","14 Jul 2012","karensgtz/status/224244122377138176","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@WEstradaLiliana","Liliana Estrada","los hijos de hitler no pueden gobernar este gran pais,FUERA PEÑA, #yosoy132 #MegaMarcha #radioamlo #vivirviviendoamlo #yoconamlo #amlo","0","0","0","1342298561000","14 Jul 2012","WEstradaLiliana/status/224242535739039744","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132 | MegaMarcha | radioamlo | vivirviviendoamlo | yoconamlo | amlo"
"@LuisBaqueiro_mx","Luis Baqueiro","""@CNNMex: Recomendamos: 132 historias que dan vida a #YoSoy132 http://t.co/MfP5kCnB""","0","0","0","1342303422000","14 Jul 2012","LuisBaqueiro_mx/status/224262926201139201","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@Miel_de_abeja","La chica de humo","#YoSoy132 se declara heredero de los movimientos sociales en México desde la Revolución Mexicana http://t.co/QPcxXDQI","0","0","0","1342303934000","14 Jul 2012","Miel_de_abeja/status/224265072992718849","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@jramiroMX","CHILANGO","Organizaciones y #YoSoy132 analizan en Atenco plan de acción contra Peña Nieto http://t.co/jGAhYsCo #FuerzaChano Magna $10.36","3","43","6","1342302023000","14 Jul 2012","jramiroMX/status/224257057807802368","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132 | FuerzaChano"
"@NARCO_TELEVISA","#YoSoy132","RT... Se reorganiza #YoSoy132 en Atenco http://t.co/IEuxfUVL vía @pajaropolitico","0","0","0","1342306800000","14 Jul 2012","NARCO_TELEVISA/status/224277093675040768","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@kikesma","Enrique Duarte","@webcamsdemexico suspende cámaras en Reforma !! EL COLMOl http://t.co/NJQ0TdxP #MegaMarcha #YoSoy132 #AMLO ""14julio Plazas Púbicas""","1","1","1","1342300306000","14 Jul 2012","kikesma/status/224249853423779841","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","MegaMarcha | YoSoy132 | AMLO"
"@CAMEL_MX","KMEL","el pueblo no debe temerle al gob, el gob debe temerle al pueblo #Megamarcha Mundial TIENES QUE VERLO!! #Yosoy132 http://t.co/0araioOJ","0","3","0","1342309190000","14 Jul 2012","CAMEL_MX/status/224287115649880065","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Megamarcha | Yosoy132"
"@DonTherion","Facho Alfa","¡14julio Plazas Púbicas! y luego dicen que no esta bien pendejos esos de #YoSoy132, ¿O todos se pondrán a enseñar el mondongo? ¡El olor!","1","0","0","1342306008000","14 Jul 2012","DonTherion/status/224273772830662657","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@MexicoRojoMX","Mexico","#Mexico : Cateo a estudiante del Mov. #YoSoy132 fuera del IFE Texcoco 05 Julio, durante el conteo de votos http://t.co/VSVGFXpu","0","0","0","1342309270000","14 Jul 2012","MexicoRojoMX/status/224287451714297856","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Mexico | YoSoy132"
"@igaleana","Isaías Galeana Acevedo","#yosoyTercero #yosoy132 pidele a amlo que no me afecte","0","0","0","1342293596000","14 Jul 2012","igaleana/status/224221710562496512","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoyTercero | yosoy132"
